src_id,station_file_name,country_code,lat_d,lat_m,lat_s,station_latitude,lon_d,lon_m,lon_s,station_longitude,station_elevation
351,WADDINGTON                                  ,GB  ,53,9,57,53.16583333,0,31,26,-0.523888889,68
352,CAMBORNE                                    ,GB  ,50,13,0,50.21666667,-5,19,0,-5.316666667,88
1627,KIRKWALL                                    ,GB  ,58,57,0,58.95,-2,54,0,-2.9,26
1628,KINLOSS                                     ,GB  ,57,39,0,57.65,-3,34,12,-3.57,5
1633,SHAWBURY                                    ,GB  ,52,48,0,52.8,-2,40,12,-2.67,72
1810,ABERPORTH                                   ,GB  ,52,8,20,52.13888889,-4,34,18,-4.571666667,133
1812,YEOVILTON                                   ,GB  ,51,0,21,51.00583333,-2,38,24,-2.64,20
1814,PLYMOUTH: MOUNTBATTEN                       ,GB  ,50,21,14,50.35388889,-4,7,15,-4.120833333,50
1821,STORMONT CASTLE                             ,GB  ,54,36,11,54.60305556,-5,49,44,-5.828888889,56
1842,WATTISHAM                                   ,GB  ,52,7,23,52.12305556,0,57,42,-0.961666667,89
1867,HURN                                        ,GB  ,50,46,44,50.77888889,-1,50,2,-1.833888889,10
2116,LEEMING                                     ,GB  ,54,18,0,54.3,-1,31,48,-1.53,40
2117,BLACKPOOL                                   ,GB  ,53,46,12,53.77,-3,1,48,-3.03,10
2118,NOTTINGHAM WEATHER CENTRE                   ,GB  ,53,0,0,53,-1,15,0,-1.25,117
2124,BRIZE NORTON                                ,GB  ,51,45,0,51.75,-1,34,48,-1.58,88
2125,STANSTED                                    ,GB  ,51,52,48,51.88,0,13,48,-0.23,106
3886,WETHERSFIELD                                ,GB  ,51,58,0,51.96666667,0,30,0,-0.5,98
11106,LOSSIEMOUTH                                 ,GB  ,57,42,42,57.71166667,-3,19,18,-3.321666667,7
11111,WIGHT ST CATHERINES POINT                   ,GB  ,50,34,30,50.575,-1,17,44,-1.295555556,20
16432,AVIEMORE                                    ,GB  ,57,12,0,57.2,-3,49,59,-3.833055556,240
16446,BRACKNELL                                   ,GB  ,51,22,59,51.38305556,0,46,59,-0.783055556,73
16447,ODIHAM                                      ,GB  ,51,13,59,51.23305556,0,57,0,-0.95,124
17476,LONDON ST JAMES'S PARK                      ,GB  ,51,30,15,51.50416667,0,7,45,-0.129166667,5
17924,HAILSHAM                                    ,GB  ,50,52,1,50.86694444,0,20,9,-0.335833333,31
21794,ABOYNE-NO-2                                 ,GB  ,57,4,32,57.07555556,-2,50,26,-2.840555556,140
21802,LARKHILL                                    ,GB  ,51,12,6,51.20166667,-1,48,20,-1.805555556,132
21808,BALLYPATRICK-FOREST                         ,GB  ,55,10,50,55.18055556,-6,9,14,-6.153888889,156
